영화명,장르,배우,감독,제작사,상영시간,개봉일,줄거리,url,TMDB 키워드,Gemini 키워드,국가,실관람객 평점,네티즌 평점,네이버 관심도(찜),누적 관객수,온라인 판매실적(당월),온라인 판매실적(익월),온라인 판매실적(익익월),매력도,유사작,경쟁작,예측 매력도
1947 보스톤,드라마,"하정우, 임시완, 배성우, 김상호, 오희준, 박효주, 서정연, 최규환, 송영창, 이규복, 정영주, 박서원, 박은빈, 임현성, 김정철, 리민, 윤희철, 김서현, 최종률, 김민경, 홍성덕, 양지수, 김환영, 황자능, 김수혁, 서동규, 안태준, 구자건, 이태형, 이한종, 천재홍, 노형원, 주영호, 윤부진, 정미남, 조혜선, 정익한, 박기선, 오경주, 양소민, 조홍우, 양지수, 최상재, 정재윤, 진범일, 서동훈",강제규,"(주)비에이엔터테인먼트, (주)빅픽쳐, 롯데컬처웍스(주)롯데엔터테인먼트, (주)콘텐츠지오, 주식회사 에이투지엔터테인먼트, 롯데컬처웍스(주)롯데엔터테인먼트, 미시간벤처캐피탈(주), (주)콘텐츠지오, 롯데컬처웍스(주)롯데엔터테인먼트, (사)한국농아인협회, 한국시각장애인연합회",108.0,20230927.0,"1936년 베를린 올림픽, 세계 신기록을 세운 마라톤 금메달리스트 손기정. 기미가요가 울려 퍼지는 시상대에서 화분으로 가슴에 단 일장기를 가렸던 그는 하루아침에 민족의 영웅으로 떠올랐지만 일제의 탄압으로 더 이상 마라톤을 할수 없게 된다. 광복 이후 1947년 서울, 제2의 손기정으로 촉망받는 서윤복에게 손기정이 나타나고 밑도 끝도 없이 보스톤 마라톤 대회에 나가자는 제안을 건넨다. 일본에 귀속된 베를린 올림픽의 영광을 되찾기 위해 처음으로 태극마크를 가슴에 새기고 달려 보자는 것! 운동화 한 켤레 살 돈도 없던 대한의 마라토너들은 미국 보스톤으로 잊을 수 없는 여정을 시작하는데…",https://image.tmdb.org/t/p/w500/qm0BIshMHCDu8XPptoaHEwQsSq8.jpg,"based on true story, marathon, 1940s, boston marathon, japanese occupation of korea, athlete","영감을 주는,역사적,성장",한국,7.811,8.85,7052,102만,3743,2397,1443,7583,"건국전쟁, 더 퍼스트 슬램덩크, 어른 김장하, 라이온 킹, 설리: 허드슨강의 기적",칸다하,43173.635
1980,드라마,"강신일, 김규리, 백성현, 한수연",강승용,(주)엣나인필름,99.0,20240327.0,"평생 중국 음식점에서 수타면을 뽑던 철수 할아버지는 1980년 5월 17일 드디어 자기 음식점을 오픈한다. 철수와 엄마, 아빠, 이모 그리고 새신랑이 될 삼촌과 예비 신부까지 철수네 대가족은 이제 행복한 꿈만 꾸면 된다고 생각하는데…",https://image.tmdb.org/t/p/w500/ptRAqcLNKHHqSlTBgQAQDNn73L8.jpg,"1980s, gwangju uprising, democratization movement","우울한,역사적,가족",한국,6.931,6.93,2377,4.4만,246,12568,6266,19080,"이처럼 사소한 것들, 슈퍼배드, 나 홀로 집에 2, 보스 베이비 2, 신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~","당신이 잠든 사이, 탐정 말로, 고질라 X 콩: 뉴 엠파이어, 댓글부대, 비키퍼",19013.17
3일의 휴가,"판타지, 드라마","김해숙, 신민아, 강기영, 황보라, 박명훈",육상효,"글뫼 주식회사, (주)쇼박스, (주)쇼박스, (사)한국농아인협회, 한국시각장애인연합회",105.0,20231206.0,"죽은 지 3년째 되는 날, 복자는 하늘에서 3일간의 휴가를 받아 규칙 안내를 맡은 신입 가이드와 함께 지상에 내려온다. 미국 명문대학교 교수인 자랑스러운 딸을 볼 생각에 설레던 마음도 잠시, 돌연 자신이 살던 시골집으로 돌아와 백반 장사를 시작한 진주의 모습에 당황한다. 속 타는 엄마의 마음도 모르는 진주는 자신을 찾아온 단짝 미진과 엄마의 레시피를 찾아가고, 낯익은 요리를 보자 서로의 추억이 되살아나는데...",https://image.tmdb.org/t/p/w500/abxttQ9TAhFbQOpWNcauJo3bjMs.jpg,mother daughter relationship,"마음이 따뜻해지는,시골,가족",한국,8.111,8.51,4149,53만,60035,23141,6697,89873,"패딩턴: 페루에 가다!, 릴로 & 스티치, 어바웃 타임, 대가족, 원정빌라",뽀로로 극장판 슈퍼스타 대모험,84230.99
A MINECRAFT MOVIE 마인크래프트 무비,"어드벤처, 판타지","제이슨 모모아, 잭 블랙",자레드 헤스,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",100.0,20250426.0,"왕년의 게임 챔피언이었지만 지금은 폐업 직전의 게임샵 주인이 된 '개릿'과 엄마를 잃고 낯선 동네로 이사 온 남매 '헨리'와 '나탈리' 그리고 그들을 돕는 부동산 중개업자 '던'. 이들은 ‘개릿’이 수집한 ‘큐브’가 내뿜는 신비한 빛을 따라가다 어느 폐광 속에 열린 포털을 통해 미지의 공간으로 빨려들어간다. 산과 나무, 구름과 달, 심지어 꿀벌까지 상상하는 모든 것이 네모난 현실이 되는 이곳은 바로 ‘오버월드’. 일찍이 이 세계로 넘어와 완벽하게 적응한 ‘스티브’를 만난 네 사람은 지하세계 ‘네더’를 다스리는 마법사 ‘말고샤’의 침공으로 ‘오버월드’가 위험에 빠졌다는 사실을 알게 된다. 현실 세계로 돌아가기 위해서는 일단 살아남아야 하는 법! 다섯 명의 ‘동글이’들은 ‘오버월드’를 구하기 위해 힘을 합치게 되는데…",https://image.tmdb.org/t/p/w500/k5aQ2TqKcQFwPoXHkpAGoKNVDLZ.jpg,"friendship, surrealism, exploration, portal, miner, friends, survival, zombie, based on video game, aftercreditsstinger, duringcreditsstinger, journey, live action and animation, imagination, teamwork, fantasy, hilarious, cheerful, building","가볍고 유쾌한,판타지 세계,우정",미국,7.541,7.59,2425,135만,58031,60879,19222,138132,"극장판 도라에몽: 진구의 지구 교향곡, 뽀로로 극장판 바닷속 대모험, 슈퍼 마리오 브라더스, 트롤: 월드 투어, 뽀로로 극장판 슈퍼스타 대모험",,123835.75
건국전쟁,다큐멘터리,,김덕영,"다큐스토리, 다큐스토리",100.0,20240201.0,"1945년 해방 이후 남과 북은 서로 다른 길을 걸어 왔다. 자유를 억압하고 인권을 탄압하는 공산주의 독재 국가 북한과 자유와 민주주의에 기초한 경제 번영과 선진국의 길로 들어선 대한민국. 두 나라는 같은 언어, 역사, 인종을 공유하면서 어떻게 극단적인 두 나라로 갈라졌을까? 지난 70년 역사를 통해서 오늘의 대한민국을 만들고 지켜내기 위해 노력했던 이승만 대통령과 건국1세대들의 희생과 투쟁을 조명한 작품.",https://image.tmdb.org/t/p/w500/qWAXjBXLxKXYQ3KeH1gf3thdxUS.jpg,hawaii,"영감을 주는,역사적,정치",한국,0.0,0.0,15,0,15617,4807,2005,22429,"1947 보스톤, 서울의 봄, 대외비, 더 퍼스트 슬램덩크, 어른 김장하",웡카,23645.885
겨울왕국,"애니메이션, 어드벤처, 가족, 코미디, 뮤지컬, 판타지","이디나 멘젤, 크리스틴 벨, 조나단 그로프, 조시 게드","제니퍼 리, 크리스 벅","월트디즈니컴퍼니코리아 유한책임회사, 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주), 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)",108.0,20140116.0,"서로가 최고의 친구였던 자매 엘사와 안나. 하지만 언니 엘사에게는 하나뿐인 동생에게조차 말 못할 비밀이 있다. 모든 것을 얼려버리는 신비로운 힘이 바로 그 것. 엘사는 통제할 수 없는 자신의 힘이 두려워 왕국을 떠나 북쪽 산으로 도망치고, 홀로 그곳에서 얼음 궁전을 지어 지내게 된다. 한편 얼어버린 왕국의 저주를 풀기 위해 안나는 언니를 찾아 나서고, 그 과정에서 안나는 까칠한 매력의 얼음장수 크리스토프와 만나 영원히 얼어붙은 왕국을 구해내기 위해 함께 고군분투한다.",https://image.tmdb.org/t/p/w500/bXR62Afcn5ouxMNrlnnFugwXEQM.jpg,"princess, magic, mistake in person, queen, cartoon, villain, musical, betrayal, snowman, reindeer, curse, snow, troll, based on children's book, mountain climbing, evil prince, based on fairy tale, aftercreditsstinger, frozen, woman director, sister sister relationship, magic land","희망적인,판타지 세계,가족",미국,9.201,9.11,99999,1032만,3916,2821,1940,8677,"아바타: 물의 길, 위시, 모아나, 모아나 2, 센과 치히로의 행방불명",,176196.85
고질라 VS. 콩,액션,"이디나 멘젤, 크리스틴 벨, 조나단 그로프, 조시 게드",아담 윈가드,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",113.0,20210325.0,"콩과 보호자들은 정착할 수 있는 곳을 찾아 특별하고 강력한 유대감을 형성하고 있는 지아와 함께 여정을 떠나게 된다. 그러던 중 지구 파괴를 위한 회심의 날을 휘두르는 고질라와 마주하게 되고, 보이지 않는 힘에 의해 맞붙게 된 두 전설의 대결은 지구 깊은 곳에 도사린 수수께끼의 시작에 불과할 뿐이었는데…",https://image.tmdb.org/t/p/w500/sqo672rKMXiLRC5kVcGvBRebkp.jpg,"monster, giant monster, scientist, gojira, rodan, kaiju, ghidora, godzilla","긴장감 있는,도시,생존",미국,8.891,7.98,3011,70만,827,818,4941,6586,"탈출: 프로젝트 사일런스, 주차금지, 타겟, 야당, 열혈검사",,5735.325
고질라 X 콩: 뉴 엠파이어,"액션, 어드벤처, SF","댄 스티븐스, 레베카 홀, 브라이언 타이리 헨리",아담 윈가드,"워너브러더스 코리아(주), 워너브러더스 코리아(주)",114.0,20240327.0,"두 타이탄의 전설적인 대결 이후 할로우 어스에 남은 콩은 드디어 애타게 찾던 동족을 발견하지만 그 뒤에 도사리고 있는 예상치 못한 위협에 맞닥뜨린다. 한편, 깊은 동면에 빠진 고질라는 알 수 없는 신호로 인해 깨어나고 푸른 눈의 폭군 스카 킹의 지배 아래 위기에 처한 할로우 어스를 마주하게 된다. 할로우 어스는 물론, 지구상에도 출몰해 전세계를 초토화시키는 타이탄들의 도발 속에서 고질라와 콩은 사상 처음으로 한 팀을 이뤄 반격에 나서기로 하는데…",https://image.tmdb.org/t/p/w500/4z1VMmlxHrziG45901esjB4dpIa.jpg,"monster, giant monster, scientist, gojira, rodan, kaiju, ghidora, godzilla","긴장감 있는,판타지 세계,생존",미국,7.621,8.27,1921,51만,77381,53040,16209,146630,"아쿠아맨과 로스트 킹덤, 바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해, 바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전, 탈출: 프로젝트 사일런스, 고질라 VS. 콩","당신이 잠든 사이, 탐정 말로, 1980, 댓글부대, 비키퍼",120386.035
괜찮아 괜찮아 괜찮아!,"가족, 코미디, 드라마","이레, 진서연, 정수빈, 이정하, 손석구",김혜영,"주식회사 투맨필름, (주)바이포엠스튜디오, (주)바이포엠스튜디오, (주)레드아이스 엔터테인먼트",101.0,20250226.0,"데낄라 같은 여자, 콜라 같은 남자  라스베이거스 공사 현장에 파견나온 뉴욕 샐러리맨 알렉스(매튜 페리 분). 사진 작가를 지망하는 멕시코 여인 이자벨(살마 헤이엑 분)과 하룻밤을 보낸다. 그는 3개월뒤 임신한 채 나타난 이자벨과 결혼하지만 성장배경이 달라 곡절을 겪는다.",https://image.tmdb.org/t/p/w500/zQj8ANBTPkzH9QXlLBElxVJscNR.jpg,"waitress, culture clash, pregnancy, romcom","마음이 따뜻해지는,학교,성장",한국,8.491,9.21,2203,11만,1886,7700,2880,12466,"해리 포터와 불의 잔, 패션왕, 라따뚜이, 드래곤 길들이기 3, 더 퍼스트 슬램덩크","패딩턴: 페루에 가다!, 퇴마록, 보더랜드, 콘클라베",23205.23
구룡성채: 무법지대,액션,"홍금보, 고천락, 임봉, 오윤룡, 곽부성",정 바오루이,"(주)콘텐츠판다, (주)콘텐츠판다",125.0,20241016.0,"1980년대 홍콩 내 위험하고 불가사의했던 무법지대, 구룡성채! 악명 높은 갱단에게서 도망치려던 '진락군'은 우연히 구룡성채로 도망가게 되고,  성채의 일원들의 도움을 받아 목숨을 건진다. 그 후 '진락군'은 성채의 일원이 되어 생애 첫 보금자리를 가지게 되는데...  행복도 잠시, 오랫동안 성채를 노린 악당들이 들이닥치고 그들은 최후의 전쟁을 시작하게 된다.",https://image.tmdb.org/t/p/w500/aUXq8aK2UX1CoQbxUi4fyioPOgH.jpg,"martial arts, kung fu, based on comic, absurd, based on manhwa","폭력적인,도시,범죄",홍콩,8.101,8.68,294,1.1만,16842,6821,3409,27072,"더러운 돈에 손대지 마라, 더 와일드: 야수들의 전쟁, 범죄도시4, 범죄도시3, 보호자","보통의 가족, 더러운 돈에 손대지 마라, 베놈, 베놈: 라스트 댄스",21735.06
